split,family,method,pr_auc,roc_auc,youden_threshold,sensitivity,precision,specificity,accuracy,f1,youden_j,best_C,best_cv_roc_auc,n_nonzero_coefs
rep0_fold0,Functional linear,Functional logistic regression (L2),0.9268378378062088,0.9594195965877382,0.4271356783919598,0.8828828828828829,0.8521739130434782,0.9623893805309734,0.9467140319715808,0.8672566371681416,0.8452722634138563,0.01,0.9006273803683668,343
rep0_fold0,Functional linear,Functional logistic regression (L1),0.9127651928198234,0.960376305509049,0.44221105527638194,0.8648648648648649,0.8067226890756303,0.9491150442477876,0.9325044404973357,0.8347826086956521,0.8139799091126525,0.06309573444801933,0.9009440342163989,57
rep0_fold0,Functional linear,Functional linear SVM,0.9291139654479694,0.958602407717452,0.135678391959799,0.8738738738738738,0.8151260504201681,0.9513274336283186,0.9360568383658969,0.8434782608695652,0.8252013075021924,0.01,0.8968266808942317,343
rep0_fold1,Functional linear,Functional logistic regression (L2),0.8041425234572013,0.872040181774695,0.46733668341708545,0.7657657657657657,0.8018867924528302,0.9535398230088495,0.91651865008881,0.783410138248848,0.7193055887746151,0.01,0.9248364886738266,343
rep0_fold1,Functional linear,Functional logistic regression (L1),0.8047031832170186,0.8756876345371921,0.5628140703517588,0.7567567567567568,0.8235294117647058,0.9601769911504425,0.9200710479573713,0.7887323943661971,0.7169337479071993,2.5118864315095824,0.9181872834470983,143
rep0_fold1,Functional linear,Functional linear SVM,0.8138361358976215,0.8800127561189507,0.15075376884422112,0.7657657657657657,0.7727272727272727,0.9446902654867256,0.9094138543516874,0.7692307692307693,0.7104560312524915,0.01,0.921502085502982,343
rep0_fold2,Functional linear,Functional logistic regression (L2),0.8829362713109916,0.9320161545771303,0.4271356783919598,0.8214285714285714,0.8070175438596491,0.9512195121951219,0.9253996447602132,0.8141592920353983,0.7726480836236933,0.01,0.9143085034687969,343
rep0_fold2,Functional linear,Functional logistic regression (L1),0.8641538139609337,0.9198012353500158,0.47738693467336685,0.8214285714285714,0.8214285714285714,0.9556541019955654,0.9289520426287744,0.8214285714285714,0.777082673424137,0.3981071705534973,0.911458851212246,97
rep0_fold2,Functional linear,Functional linear SVM,0.8655979526082154,0.9178215077605322,0.16080402010050251,0.8035714285714286,0.8181818181818182,0.9556541019955654,0.9253996447602132,0.8108108108108109,0.7592255305669942,0.01,0.9122499944257397,343
rep0_fold3,Functional linear,Functional logistic regression (L2),0.8764734379171332,0.9211474501108647,0.40703517587939697,0.8482142857142857,0.811965811965812,0.9512195121951219,0.9307282415630551,0.8296943231441049,0.7994337979094075,0.01,0.9117072322160507,343
rep0_fold3,Functional linear,Functional logistic regression (L1),0.8622074515238148,0.9201179917643333,0.4371859296482412,0.8482142857142857,0.7421875,0.926829268292683,0.911190053285968,0.7916666666666666,0.7750435540069687,0.06309573444801933,0.9110107007718996,47
rep0_fold3,Functional linear,Functional linear SVM,0.882589843980516,0.9249881216344632,0.15577889447236182,0.8392857142857143,0.8103448275862069,0.9512195121951219,0.9289520426287744,0.8245614035087719,0.7905052264808363,0.01,0.9072182452469638,343
rep0_fold4,Functional linear,Functional logistic regression (L2),0.844572592336148,0.903032942667089,0.457286432160804,0.8303571428571429,0.808695652173913,0.9512195121951219,0.9271758436944938,0.8193832599118943,0.7815766550522647,0.01,0.9205557175941133,343
rep0_fold4,Functional linear,Functional logistic regression (L1),0.8546622049153395,0.9082198289515363,0.457286432160804,0.8392857142857143,0.7899159663865546,0.9445676274944568,0.9236234458259325,0.8138528138528138,0.783853341780171,0.3981071705534973,0.9183073070617943,105
rep0_fold4,Functional linear,Functional linear SVM,0.8545936949962825,0.90594314222363,0.19597989949748745,0.8303571428571429,0.8017241379310345,0.9490022172949002,0.9253996447602132,0.8157894736842105,0.7793593601520432,0.01,0.9159471351214757,343
rep1_fold0,Functional linear,Functional logistic regression (L2),0.8443679299693907,0.9010204895160647,0.4271356783919598,0.7747747747747747,0.7747747747747747,0.9446902654867256,0.911190053285968,0.7747747747747747,0.7194650402615004,0.01,0.9153234059683873,343
rep1_fold0,Functional linear,Functional logistic regression (L1),0.8306707061538527,0.9020569241808181,0.3869346733668342,0.8108108108108109,0.7142857142857143,0.9203539823008849,0.8987566607460036,0.759493670886076,0.7311647931116958,0.06309573444801933,0.9110873391427082,61
rep1_fold0,Functional linear,Functional linear SVM,0.8453074363688265,0.9040699992027426,0.135678391959799,0.7657657657657657,0.7327586206896551,0.9314159292035398,0.8987566607460036,0.748898678414097,0.6971816949693055,0.01,0.9088602938507643,343
rep1_fold1,Functional linear,Functional logistic regression (L2),0.8908354254670643,0.9259148529060033,0.36683417085427134,0.8468468468468469,0.746031746031746,0.9292035398230089,0.9129662522202486,0.7932489451476793,0.7760503866698558,0.01,0.9117556382298021,343
rep1_fold1,Functional linear,Functional logistic regression (L1),0.8839045891391367,0.915929203539823,0.5175879396984925,0.8468468468468469,0.7642276422764228,0.9358407079646017,0.9182948490230906,0.8034188034188035,0.7826875548114485,2.5118864315095824,0.9104451645700337,148
rep1_fold1,Functional linear,Functional linear SVM,0.8900440126860427,0.9224069201945309,0.17587939698492464,0.8378378378378378,0.7948717948717948,0.9469026548672567,0.9253996447602132,0.8157894736842105,0.7847404927050945,0.01,0.9134104731811794,343
rep1_fold2,Functional linear,Functional logistic regression (L2),0.8706434748352962,0.9125554323725055,0.3919597989949749,0.8303571428571429,0.8230088495575221,0.9556541019955654,0.9307282415630551,0.8266666666666667,0.7860112448527083,0.01,0.913702465871968,343
rep1_fold2,Functional linear,Functional logistic regression (L1),0.8523944279969277,0.9046959138422552,0.4623115577889447,0.8214285714285714,0.8070175438596491,0.9512195121951219,0.9253996447602132,0.8141592920353983,0.7726480836236933,0.06309573444801933,0.9064280310768527,54
rep1_fold2,Functional linear,Functional linear SVM,0.8756687369582146,0.9205535318340198,0.1708542713567839,0.8214285714285714,0.8518518518518519,0.9645232815964523,0.9360568383658969,0.8363636363636363,0.7859518530250238,0.01,0.9089026511181967,343
rep1_fold3,Functional linear,Functional logistic regression (L2),0.8598961986947035,0.9329466265441876,0.4170854271356784,0.8482142857142857,0.7983193277310925,0.9467849223946785,0.9271758436944938,0.8225108225108225,0.7949992081089641,0.01,0.9087700992258507,343
rep1_fold3,Functional linear,Functional logistic regression (L1),0.8390808923188857,0.9304719670573328,0.4371859296482412,0.8303571428571429,0.7380952380952381,0.926829268292683,0.9076376554174067,0.7815126050420168,0.7571864111498259,0.06309573444801933,0.9070208611920801,54
rep1_fold3,Functional linear,Functional linear SVM,0.8520480565852532,0.9153072537218878,0.15075376884422112,0.8303571428571429,0.7948717948717948,0.9467849223946785,0.9236234458259325,0.8122270742358079,0.7771420652518213,0.01,0.9020416406283426,343
rep1_fold4,Functional linear,Functional logistic regression (L2),0.8725733467368452,0.9208504909724422,0.4371859296482412,0.8482142857142857,0.8407079646017699,0.9600886917960089,0.9378330373001776,0.8444444444444444,0.8083029775102946,0.01,0.9158897101967182,343
rep1_fold4,Functional linear,Functional logistic regression (L1),0.8448610610354409,0.9180788723471651,0.457286432160804,0.8482142857142857,0.7661290322580645,0.9356984478935698,0.9182948490230906,0.8050847457627118,0.7839127336078555,0.06309573444801933,0.9138068200421876,56
rep1_fold4,Functional linear,Functional linear SVM,0.8872148258404786,0.9303729806778587,0.1658291457286432,0.8392857142857143,0.831858407079646,0.9578713968957872,0.9342806394316163,0.8355555555555556,0.7971571111815015,0.01,0.9129521001301867,343
rep2_fold0,Functional linear,Functional logistic regression (L2),0.8571530412436386,0.9184604958941243,0.3919597989949749,0.7837837837837838,0.75,0.9358407079646017,0.9058614564831261,0.7665198237885462,0.7196244917483856,0.01,0.9195855973084862,343
rep2_fold0,Functional linear,Functional logistic regression (L1),0.8313922574373659,0.9019771984373753,0.36180904522613067,0.7927927927927928,0.7154471544715447,0.922566371681416,0.8969804618117229,0.7521367521367521,0.7153591644742088,0.06309573444801933,0.9159169116527788,51
rep2_fold0,Functional linear,Functional linear SVM,0.860684644265443,0.9171250896914613,0.1306532663316583,0.7927927927927928,0.7586206896551724,0.9380530973451328,0.9094138543516874,0.775330396475771,0.7308458901379256,0.01,0.912273837296178,343
rep2_fold1,Functional linear,Functional logistic regression (L2),0.9158492947506195,0.9405046639559913,0.3969849246231156,0.9009009009009009,0.8403361344537815,0.9579646017699115,0.9467140319715808,0.8695652173913043,0.8588655026708123,0.01,0.90508081552065,343
rep2_fold1,Functional linear,Functional logistic regression (L1),0.896235919561104,0.935442079247389,0.38190954773869346,0.9099099099099099,0.7651515151515151,0.9314159292035398,0.9271758436944938,0.831275720164609,0.8413258391134497,0.06309573444801933,0.9068211657464468,66
rep2_fold1,Functional linear,Functional linear SVM,0.9244715777091818,0.9481583353264771,0.18090452261306533,0.9009009009009009,0.8264462809917356,0.9535398230088495,0.9431616341030196,0.8620689655172413,0.8544407239097505,0.01,0.8979309223813532,343
rep2_fold2,Functional linear,Functional logistic regression (L2),0.807518199384834,0.8751781754830535,0.4020100502512563,0.7946428571428571,0.7807017543859649,0.9445676274944568,0.9147424511545293,0.7876106194690266,0.7392104846373138,0.06309573444801933,0.9221675074258187,343
rep2_fold2,Functional linear,Functional logistic regression (L1),0.8013712561532724,0.8721095977193538,0.457286432160804,0.7857142857142857,0.7787610619469026,0.9445676274944568,0.9129662522202486,0.7822222222222223,0.7302819132087426,0.3981071705534973,0.9223845771567015,88
rep2_fold2,Functional linear,Functional linear SVM,0.8083450816694935,0.8760492556224262,0.15577889447236182,0.8125,0.7459016393442623,0.9312638580931264,0.9076376554174067,0.7777777777777778,0.7437638580931263,0.01,0.9226898055718097,343
rep2_fold3,Functional linear,Functional logistic regression (L2),0.8836027342925503,0.9308679125752296,0.3919597989949749,0.8660714285714286,0.8151260504201681,0.9512195121951219,0.9342806394316163,0.8398268398268398,0.8172909407665505,0.01,0.9137086427549983,343
rep2_fold3,Functional linear,Functional logistic regression (L1),0.8722825741710781,0.9314420335761798,0.48743718592964824,0.8482142857142857,0.811965811965812,0.9512195121951219,0.9307282415630551,0.8296943231441049,0.7994337979094075,0.06309573444801933,0.9118165831331119,48
rep2_fold3,Functional linear,Functional linear SVM,0.8873294572211345,0.93991526765917,0.16080402010050251,0.8482142857142857,0.8407079646017699,0.9600886917960089,0.9378330373001776,0.8444444444444444,0.8083029775102946,0.01,0.9086128900199449,343
rep2_fold4,Functional linear,Functional logistic regression (L2),0.850331920224359,0.8930947101678809,0.4020100502512563,0.8303571428571429,0.6888888888888889,0.9068736141906873,0.8916518650088809,0.7530364372469636,0.7372307570478303,0.06309573444801933,0.9268331884025655,343
rep2_fold4,Functional linear,Functional logistic regression (L1),0.8402208184017813,0.892956129236617,0.4824120603015075,0.8214285714285714,0.6917293233082706,0.9090909090909091,0.8916518650088809,0.7510204081632653,0.7305194805194803,2.5118864315095824,0.9240974820614278,141
rep2_fold4,Functional linear,Functional linear SVM,0.8492275186896764,0.8920058599936648,0.16080402010050251,0.8214285714285714,0.7076923076923077,0.9157427937915743,0.8969804618117229,0.7603305785123967,0.7371713652201457,0.01,0.9284190403474,343
rep3_fold0,Functional linear,Functional logistic regression (L2),0.893641461822404,0.9375149485768955,0.4271356783919598,0.8378378378378378,0.775,0.9402654867256637,0.9200710479573713,0.8051948051948052,0.7781033245635016,0.06309573444801933,0.9059057071113351,343
rep3_fold0,Functional linear,Functional logistic regression (L1),0.878041335398192,0.9160288607191261,0.5829145728643216,0.8018018018018018,0.8240740740740741,0.9579646017699115,0.9271758436944938,0.8127853881278538,0.7597664035717133,2.5118864315095824,0.9033164060083192,151
rep3_fold0,Functional linear,Functional linear SVM,0.8888244607620107,0.9337678386350954,0.1457286432160804,0.8288288288288288,0.7479674796747967,0.9314159292035398,0.911190053285968,0.7863247863247863,0.7602447580323686,0.01,0.9079883286675878,343
rep3_fold1,Functional linear,Functional logistic regression (L2),0.8495195871561992,0.9002232320816392,0.46733668341708545,0.8018018018018018,0.839622641509434,0.9623893805309734,0.9307282415630551,0.8202764976958525,0.7641911823327754,0.01,0.9119611098544551,343
rep3_fold1,Functional linear,Functional logistic regression (L1),0.8561342589212599,0.9162680379494539,0.3768844221105528,0.8288288288288288,0.7076923076923077,0.915929203539823,0.8987566607460036,0.7634854771784232,0.7447580323686518,0.06309573444801933,0.9097652470302547,60
rep3_fold1,Functional linear,Functional linear SVM,0.8582230435005143,0.9072590289404449,0.1457286432160804,0.8018018018018018,0.8557692307692307,0.9668141592920354,0.9342806394316163,0.827906976744186,0.7686159610938372,0.01,0.9016669938259704,343
rep3_fold2,Functional linear,Functional logistic regression (L2),0.8487094007822015,0.8900261324041813,0.49246231155778897,0.7767857142857143,0.8529411764705882,0.9667405764966741,0.9289520426287744,0.8130841121495327,0.7435262907823885,0.06309573444801933,0.9216034776554521,343
rep3_fold2,Functional linear,Functional logistic regression (L1),0.8403855056717241,0.8845026924295216,0.5025125628140703,0.7678571428571429,0.8431372549019608,0.9645232815964523,0.9253996447602132,0.8037383177570093,0.7323804244535952,0.3981071705534973,0.9201705161202586,94
rep3_fold2,Functional linear,Functional linear SVM,0.8425380003634557,0.8873930947101679,0.17587939698492464,0.7767857142857143,0.8446601941747572,0.9645232815964523,0.9271758436944938,0.8093023255813954,0.7413089958821666,0.01,0.9216169864484208,343
rep3_fold3,Functional linear,Functional logistic regression (L2),0.890408097380675,0.9398162812796957,0.4271356783919598,0.875,0.784,0.9401330376940134,0.9271758436944938,0.8270042194092827,0.8151330376940134,0.01,0.9137163513041459,343
rep3_fold3,Functional linear,Functional logistic regression (L1),0.8811241461081187,0.9289475768134305,0.3919597989949749,0.8839285714285714,0.6971830985915493,0.9046563192904656,0.9005328596802842,0.7795275590551181,0.7885848907190369,0.3981071705534973,0.9118486476844523,102
rep3_fold3,Functional linear,Functional linear SVM,0.8822063679761565,0.9245327842888819,0.1457286432160804,0.8839285714285714,0.7388059701492538,0.9223946784922394,0.9147424511545293,0.8048780487804879,0.8063232499208108,0.01,0.9119754746608187,343
rep3_fold4,Functional linear,Functional logistic regression (L2),0.8284395037551016,0.9074873297434274,0.4472361809045226,0.8125,0.7913043478260869,0.9467849223946785,0.9200710479573713,0.801762114537445,0.7592849223946785,0.01,0.9164837455574152,343
rep3_fold4,Functional linear,Functional logistic regression (L1),0.8276788961639437,0.8995882166613874,0.4824120603015075,0.8125,0.728,0.9246119733924612,0.9023090586145648,0.7679324894514767,0.7371119733924612,15.848931924611142,0.9142195663968726,224
rep3_fold4,Functional linear,Functional linear SVM,0.8319748718893188,0.909823408299018,0.22110552763819097,0.8035714285714286,0.7692307692307693,0.9401330376940134,0.9129662522202486,0.7860262008733624,0.743704466265442,0.01,0.9178422831848773,343
rep4_fold0,Functional linear,Functional logistic regression (L2),0.8771932310800545,0.9310571633580484,0.4020100502512563,0.8378378378378378,0.8017241379310345,0.9491150442477876,0.9271758436944938,0.8193832599118943,0.7869528820856253,0.01,0.9010225747092169,343
rep4_fold0,Functional linear,Functional logistic regression (L1),0.8446964130052382,0.907478274734912,0.3869346733668342,0.8288288288288288,0.7863247863247863,0.9446902654867256,0.9218472468916519,0.8070175438596491,0.7735190943155543,0.06309573444801933,0.9004317278511452,49
rep4_fold0,Functional linear,Functional linear SVM,0.8737310507567247,0.9285458024396078,0.15075376884422112,0.8288288288288288,0.8141592920353983,0.9535398230088495,0.9289520426287744,0.8214285714285714,0.7823686518376785,0.01,0.8968783548745877,343
rep4_fold1,Functional linear,Functional logistic regression (L2),0.8841107877460165,0.9238419835764969,0.457286432160804,0.8378378378378378,0.8157894736842105,0.9535398230088495,0.9307282415630551,0.8266666666666667,0.7913776608466874,0.01,0.9074919814435689,343
rep4_fold1,Functional linear,Functional logistic regression (L1),0.8810497764557523,0.9126405166228175,0.5477386934673367,0.8198198198198198,0.8272727272727273,0.9579646017699115,0.9307282415630551,0.8235294117647058,0.7777844215897312,2.5118864315095824,0.9027646253471948,143
rep4_fold1,Functional linear,Functional linear SVM,0.8853428262328138,0.9234632862951447,0.1407035175879397,0.8288288288288288,0.773109243697479,0.9402654867256637,0.9182948490230906,0.8,0.7690943155544925,0.01,0.9040533893808975,343
rep4_fold2,Functional linear,Functional logistic regression (L2),0.8635661890374656,0.9196428571428572,0.4723618090452261,0.8035714285714286,0.8035714285714286,0.9512195121951219,0.9218472468916519,0.8035714285714286,0.7547909407665505,0.01,0.916201165713418,343
rep4_fold2,Functional linear,Functional logistic regression (L1),0.8342670741074397,0.9093284764016472,0.4221105527638191,0.8303571428571429,0.75,0.9312638580931264,0.911190053285968,0.788135593220339,0.7616210009502693,0.06309573444801933,0.915899854346085,46
rep4_fold2,Functional linear,Functional linear SVM,0.8602645086531321,0.9130503642698765,0.1708542713567839,0.8214285714285714,0.8141592920353983,0.9534368070953437,0.9271758436944938,0.8177777777777778,0.774865378523915,0.01,0.909637147794632,343
rep4_fold3,Functional linear,Functional logistic regression (L2),0.8203038949156293,0.8941835603420969,0.4371859296482412,0.8035714285714286,0.7142857142857143,0.9201773835920177,0.8969804618117229,0.7563025210084033,0.7237488121634463,0.01,0.9207197314150646,343
rep4_fold3,Functional linear,Functional logistic regression (L1),0.815680069657615,0.8973709217611657,0.457286432160804,0.8035714285714286,0.7258064516129032,0.9246119733924612,0.9005328596802842,0.7627118644067796,0.7281834019638898,2.5118864315095824,0.9176878359998385,148
rep4_fold3,Functional linear,Functional linear SVM,0.8130747458952706,0.8977470700031677,0.1407035175879397,0.8125,0.7054263565891473,0.9157427937915743,0.8952042628774423,0.7551867219917012,0.7282427937915743,0.3981071705534973,0.9191612485860965,343
rep4_fold4,Functional linear,Functional logistic regression (L2),0.8864326767060687,0.9124762432689262,0.37185929648241206,0.8660714285714286,0.8434782608695652,0.9600886917960089,0.9413854351687388,0.8546255506607929,0.8261601203674376,0.01,0.9189368971638364,343
rep4_fold4,Functional linear,Functional logistic regression (L1),0.8905271560984804,0.92170177383592,0.4221105527638191,0.8482142857142857,0.7916666666666666,0.9445676274944568,0.9253996447602132,0.8189655172413793,0.7927819132087426,0.3981071705534973,0.9150255491952074,104
