wavelength,beta_logreg_raw,beta_svm_raw,abs_beta_logreg_raw,abs_beta_svm_raw
336.0,-0.04292584021057487,-0.0523321177212315,0.04292584021057487,0.0523321177212315
338.0,0.046758937469272135,0.06672704704853101,0.046758937469272135,0.06672704704853101
340.0,0.051932821715384485,0.017594909224544184,0.051932821715384485,0.017594909224544184
342.0,0.016991957823152982,-0.01369583663493369,0.016991957823152982,0.01369583663493369
344.0,0.0033088826149699274,0.0006182640601556121,0.0033088826149699274,0.0006182640601556121
346.0,0.024256436405818545,0.017147046973896747,0.024256436405818545,0.017147046973896747
348.0,0.04000463989867809,0.01106706271775753,0.04000463989867809,0.01106706271775753
350.0,0.031240445754304392,0.003178782814090539,0.031240445754304392,0.003178782814090539
352.0,0.030833027868339843,0.01692537110311249,0.030833027868339843,0.01692537110311249
354.0,0.05460459930949456,0.03855828848098568,0.05460459930949456,0.03855828848098568
356.0,0.05524167809613101,0.03878591172690475,0.05524167809613101,0.03878591172690475
358.0,0.024381054268983675,0.028485958589817704,0.024381054268983675,0.028485958589817704
360.0,0.017669827414663827,0.03349209224730093,0.017669827414663827,0.03349209224730093
362.0,0.060097191134161565,0.055527070862265965,0.060097191134161565,0.055527070862265965
364.0,0.10494574128040662,0.07156309075680382,0.10494574128040662,0.07156309075680382
366.0,0.09034869892037695,0.05956622580063497,0.09034869892037695,0.05956622580063497
368.0,0.016869458121289992,0.021066215101889448,0.016869458121289992,0.021066215101889448
370.0,-0.04809813247561674,-0.018096385307318837,0.04809813247561674,0.018096385307318837
372.0,-0.050220842581881336,-0.030518753030743535,0.050220842581881336,0.030518753030743535
374.0,-0.016259097038494562,-0.019556004058158886,0.016259097038494562,0.019556004058158886
376.0,0.0009596335826227272,-0.006924625202134607,0.0009596335826227272,0.006924625202134607
378.0,-0.010132409387080576,-0.004542011621324101,0.010132409387080576,0.004542011621324101
380.0,-0.01909403310926682,-0.00698767291267374,0.01909403310926682,0.00698767291267374
382.0,-0.0026781925156975695,-0.002998026293075219,0.0026781925156975695,0.002998026293075219
384.0,0.01871978592703568,0.006252051308206605,0.01871978592703568,0.006252051308206605
386.0,0.017342228228380593,0.009286295692518702,0.017342228228380593,0.009286295692518702
388.0,0.002764152562998322,0.004625980920916139,0.002764152562998322,0.004625980920916139
390.0,-0.00017740669706155975,0.0008402692829508251,0.00017740669706155975,0.0008402692829508251
392.0,0.017952597342795244,0.006831037276599156,0.017952597342795244,0.006831037276599156
394.0,0.04447807141542932,0.02111420598776531,0.04447807141542932,0.02111420598776531
396.0,0.06374257657300296,0.034902760588042,0.06374257657300296,0.034902760588042
398.0,0.0755783618077325,0.04241104529020844,0.0755783618077325,0.04241104529020844
400.0,0.08155722173546716,0.04087077230065212,0.08155722173546716,0.04087077230065212
402.0,0.08478069550563157,0.03547447834074686,0.08478069550563157,0.03547447834074686
404.0,0.08992323074095587,0.03225798747939694,0.08992323074095587,0.03225798747939694
406.0,0.09082541107165949,0.028719198874689385,0.09082541107165949,0.028719198874689385
408.0,0.07445405949485365,0.01829945045878904,0.07445405949485365,0.01829945045878904
410.0,0.03915370091309567,-0.00119074783468604,0.03915370091309567,0.00119074783468604
412.0,0.00860041271114203,-0.019821197453845397,0.00860041271114203,0.019821197453845397
414.0,0.006695654076289868,-0.023732011033749247,0.006695654076289868,0.023732011033749247
416.0,0.02890572753206208,-0.011635459689755797,0.02890572753206208,0.011635459689755797
418.0,0.05509121884762958,0.0057876898384982035,0.05509121884762958,0.0057876898384982035
420.0,0.07652437039709681,0.021549796311263716,0.07652437039709681,0.021549796311263716
422.0,0.09442175534503627,0.03495478253022797,0.09442175534503627,0.03495478253022797
424.0,0.10986838097520464,0.04648167482879371,0.10986838097520464,0.04648167482879371
426.0,0.1187632035017919,0.05445623766922167,0.1187632035017919,0.05445623766922167
428.0,0.11490072346623188,0.05598748813361505,0.11490072346623188,0.05598748813361505
430.0,0.09680141298297834,0.05019543798228706,0.09680141298297834,0.05019543798228706
432.0,0.06408141407155998,0.0361168641999008,0.06408141407155998,0.0361168641999008
434.0,0.021392022341532355,0.014313538174818367,0.021392022341532355,0.014313538174818367
436.0,-0.01678528052181104,-0.008947769199395767,0.01678528052181104,0.008947769199395767
438.0,-0.04088988175226409,-0.02808087495534648,0.04088988175226409,0.02808087495534648
440.0,-0.04847420094135828,-0.03972852080898437,0.04847420094135828,0.03972852080898437
442.0,-0.04293642387393303,-0.043236150357087506,0.04293642387393303,0.043236150357087506
444.0,-0.031109124365054235,-0.04128057671897386,0.031109124365054235,0.04128057671897386
446.0,-0.017374899459739416,-0.03626225174491643,0.017374899459739416,0.03626225174491643
448.0,-0.00316723276813751,-0.02891742386673357,0.00316723276813751,0.02891742386673357
450.0,0.011306795695250574,-0.019316433237100212,0.011306795695250574,0.019316433237100212
452.0,0.026486712214045655,-0.007479994535303901,0.026486712214045655,0.007479994535303901
454.0,0.04302854213653901,0.006698103389634906,0.04302854213653901,0.006698103389634906
456.0,0.06037119255719509,0.02287819356786154,0.06037119255719509,0.02287819356786154
458.0,0.07584994980692981,0.039285238310464515,0.07584994980692981,0.039285238310464515
460.0,0.08651131510273598,0.05343246132024344,0.08651131510273598,0.05343246132024344
462.0,0.0911456722435793,0.06379721521460333,0.0911456722435793,0.06379721521460333
464.0,0.08977400319819323,0.06983195398584037,0.08977400319819323,0.06983195398584037
466.0,0.08297682442872541,0.071409216222097,0.08297682442872541,0.071409216222097
468.0,0.07224496345126488,0.0690497521272973,0.07224496345126488,0.0690497521272973
470.0,0.05989641390413132,0.06404476848782946,0.05989641390413132,0.06404476848782946
472.0,0.04824995895820768,0.057925665365374274,0.04824995895820768,0.057925665365374274
474.0,0.039016972622754185,0.05190382440532538,0.039016972622754185,0.05190382440532538
476.0,0.03318231256849036,0.04675535321181225,0.03318231256849036,0.04675535321181225
478.0,0.030914146290573943,0.042926590590241495,0.030914146290573943,0.042926590590241495
480.0,0.031414293390490476,0.040526638835366766,0.031414293390490476,0.040526638835366766
482.0,0.03303239025641341,0.03920026884876359,0.03303239025641341,0.03920026884876359
484.0,0.033667768129418144,0.03809979158806788,0.033667768129418144,0.03809979158806788
486.0,0.03130827923958153,0.03612626280678126,0.03130827923958153,0.03612626280678126
488.0,0.024727531845597586,0.03240712715114999,0.024727531845597586,0.03240712715114999
490.0,0.014056058957403736,0.026749895174523714,0.014056058957403736,0.026749895174523714
492.0,0.0005604548331457471,0.01961129964525749,0.0005604548331457471,0.01961129964525749
494.0,-0.01420548465220299,0.01164377332908964,0.01420548465220299,0.01164377332908964
496.0,-0.029041443662079638,0.0033145687849171056,0.029041443662079638,0.0033145687849171056
498.0,-0.04325005562478998,-0.005179838880600304,0.04325005562478998,0.005179838880600304
500.0,-0.05652748432805977,-0.013829534767077115,0.05652748432805977,0.013829534767077115
502.0,-0.06880985537776063,-0.022695108856181142,0.06880985537776063,0.022695108856181142
504.0,-0.08011531511864085,-0.03178870725009933,0.08011531511864085,0.03178870725009933
506.0,-0.0904024323684701,-0.04097148062901567,0.0904024323684701,0.04097148062901567
508.0,-0.09945970567424475,-0.04986732793403806,0.09945970567424475,0.04986732793403806
510.0,-0.10686528164021071,-0.05783465251946728,0.10686528164021071,0.05783465251946728
512.0,-0.11205558439368937,-0.0640368390410611,0.11205558439368937,0.0640368390410611
514.0,-0.11452556803884396,-0.06764950438552267,0.11452556803884396,0.06764950438552267
516.0,-0.11408280569087735,-0.06814997206354442,0.11408280569087735,0.06814997206354442
518.0,-0.11099493136675687,-0.06552408323408411,0.11099493136675687,0.06552408323408411
520.0,-0.10591997114653787,-0.06026612609030459,0.10591997114653787,0.06026612609030459
522.0,-0.09968434788732773,-0.0531865999750393,0.09968434788732773,0.0531865999750393
524.0,-0.09306533548144676,-0.04518456550708731,0.09306533548144676,0.04518456550708731
526.0,-0.08667825260101897,-0.037087005578675246,0.08667825260101897,0.037087005578675246
528.0,-0.08095982194108728,-0.0295745772917706,0.08095982194108728,0.0295745772917706
530.0,-0.07619343818368532,-0.02314916001265873,0.07619343818368532,0.02314916001265873
532.0,-0.07253385365313612,-0.01811807479871053,0.07253385365313612,0.01811807479871053
534.0,-0.07002376104580775,-0.014590797789640985,0.07002376104580775,0.014590797789640985
536.0,-0.06860144023768616,-0.012490653719787317,0.06860144023768616,0.012490653719787317
538.0,-0.06811311635091787,-0.011588666622569407,0.06811311635091787,0.011588666622569407
540.0,-0.06833481408900233,-0.011550439346758331,0.06833481408900233,0.011550439346758331
542.0,-0.06900778699618067,-0.011993436520241568,0.06900778699618067,0.011993436520241568
544.0,-0.06988619192696224,-0.01255164307526821,0.06988619192696224,0.01255164307526821
546.0,-0.07077968072457266,-0.012932432142124198,0.07077968072457266,0.012932432142124198
548.0,-0.07157834072718261,-0.012955019346740058,0.07157834072718261,0.012955019346740058
550.0,-0.07224668214876426,-0.012559234802682536,0.07224668214876426,0.012559234802682536
552.0,-0.0727966056313202,-0.011784438363990474,0.0727966056313202,0.011784438363990474
554.0,-0.07325388875870072,-0.01073749769080531,0.07325388875870072,0.01073749769080531
556.0,-0.07363183783637604,-0.009556502525128088,0.07363183783637604,0.009556502525128088
558.0,-0.07392019536707546,-0.008384471842631799,0.07392019536707546,0.008384471842631799
560.0,-0.07408420235150133,-0.007347979025811682,0.07408420235150133,0.007347979025811682
562.0,-0.07407429630862515,-0.006545550021966107,0.07407429630862515,0.006545550021966107
564.0,-0.07383785389693345,-0.006039051413572003,0.07383785389693345,0.006039051413572003
566.0,-0.07333256835003697,-0.005853269765337854,0.07333256835003697,0.005853269765337854
568.0,-0.07253638056990017,-0.005979115631968573,0.07253638056990017,0.005979115631968573
570.0,-0.07145523940095375,-0.006383093145323399,0.07145523940095375,0.006383093145323399
572.0,-0.07012816155986124,-0.0070214161923758,0.07012816155986124,0.0070214161923758
574.0,-0.0686283350592342,-0.007853920458527406,0.0686283350592342,0.007853920458527406
576.0,-0.06706012340993316,-0.008855949614105301,0.06706012340993316,0.008855949614105301
578.0,-0.06555146850225749,-0.010027192771555752,0.06555146850225749,0.010027192771555752
580.0,-0.06424041682421487,-0.011393545081519456,0.06424041682421487,0.011393545081519456
582.0,-0.06325920565382401,-0.01300249287490819,0.06325920565382401,0.01300249287490819
584.0,-0.06272001437137098,-0.014915894649654817,0.06272001437137098,0.014915894649654817
586.0,-0.06270235431583435,-0.01719751042781678,0.06270235431583435,0.01719751042781678
588.0,-0.06324857627610694,-0.019902518884876215,0.06324857627610694,0.019902518884876215
590.0,-0.06435989589933343,-0.02306614051386961,0.06435989589933343,0.02306614051386961
592.0,-0.06599806370744653,-0.0266944042923964,0.06599806370744653,0.0266944042923964
594.0,-0.06808606417465825,-0.030755386754090973,0.06808606417465825,0.030755386754090973
596.0,-0.07051165228246854,-0.035173773918329286,0.07051165228246854,0.035173773918329286
598.0,-0.07313038386452586,-0.039826801132158356,0.07313038386452586,0.039826801132158356
600.0,-0.07577042746992514,-0.04454410822948518,0.07577042746992514,0.04454410822948518
602.0,-0.07824087897882054,-0.04911338209879318,0.07824087897882054,0.04911338209879318
604.0,-0.08034219878486894,-0.05329149032447919,0.08034219878486894,0.05329149032447919
606.0,-0.08187979557756057,-0.056821133827839466,0.08187979557756057,0.056821133827839466
608.0,-0.08268091424983354,-0.05945397824265255,0.08268091424983354,0.05945397824265255
610.0,-0.08261060337462856,-0.06097582988506844,0.08261060337462856,0.06097582988506844
612.0,-0.08158734866920782,-0.06123215296072321,0.08158734866920782,0.06123215296072321
614.0,-0.07959314978932036,-0.060147892240252215,0.07959314978932036,0.060147892240252215
616.0,-0.07667507977975847,-0.05773674771728277,0.07667507977975847,0.05773674771728277
618.0,-0.07293987282973392,-0.05410044795519526,0.07293987282973392,0.05410044795519526
620.0,-0.068540370668337,-0.04941511078586076,0.068540370668337,0.04941511078586076
622.0,-0.06365709208209057,-0.04390943807250776,0.06365709208209057,0.04390943807250776
624.0,-0.058479095064057934,-0.03783971230396826,0.058479095064057934,0.03783971230396826
626.0,-0.053188235972902266,-0.031467070599953746,0.053188235972902266,0.031467070599953746
628.0,-0.04794660309919051,-0.025038318734539933,0.04794660309919051,0.025038318734539933
630.0,-0.042890294555904936,-0.018773898382209633,0.042890294555904936,0.018773898382209633
632.0,-0.0381272905518294,-0.012862873242311265,0.0381272905518294,0.012862873242311265
634.0,-0.03373901396560463,-0.00746206530104827,0.03373901396560463,0.00746206530104827
636.0,-0.033378033761115644,-0.004835903432537198,0.033378033761115644,0.004835903432537198
638.0,-0.03590917784439246,-0.008881682672208588,0.03590917784439246,0.008881682672208588
640.0,-0.03152674565224922,0.0012790879434982525,0.03152674565224922,0.0012790879434982525
642.0,-0.020650228464837602,0.033890163513884526,0.020650228464837602,0.033890163513884526
644.0,-0.013275663518457619,0.06292401685085619,0.013275663518457619,0.06292401685085619
646.0,-0.015967856563939634,0.06024618940114431,0.015967856563939634,0.06024618940114431
648.0,-0.020959598751598623,0.03821631389977786,0.020959598751598623,0.03821631389977786
650.0,-0.018581858535915326,0.019035995959232242,0.018581858535915326,0.019035995959232242
652.0,-0.0056625305382176335,0.017643924268717134,0.0056625305382176335,0.017643924268717134
654.0,0.012275202322821793,0.03139028942836514,0.012275202322821793,0.03139028942836514
656.0,0.02406773457578197,0.04359960501411828,0.02406773457578197,0.04359960501411828
658.0,0.02027918060306693,0.03679916838582849,0.02027918060306693,0.03679916838582849
660.0,0.0006579404336880554,0.007453194284273542,0.0006579404336880554,0.007453194284273542
662.0,-0.025376371171511668,-0.03086631095396427,0.025376371171511668,0.03086631095396427
664.0,-0.04541377301504022,-0.058204585603156854,0.04541377301504022,0.058204585603156854
666.0,-0.0525883577597485,-0.0635369154871765,0.0525883577597485,0.0635369154871765
668.0,-0.04853393984818485,-0.0507346068402716,0.04853393984818485,0.0507346068402716
670.0,-0.04026250607636867,-0.033383679284715854,0.04026250607636867,0.033383679284715854
672.0,-0.03526698824663558,-0.025566257684931162,0.03526698824663558,0.025566257684931162
674.0,-0.03705943388752382,-0.03313923699962089,0.03705943388752382,0.03313923699962089
