wavelength,beta_logreg_raw,beta_logreg_sigma_6.0,beta_svm_raw,beta_svm_sigma_6.0
336.0,-0.04292584021057487,0.36440758845560106,-0.0523321177212315,1.7689563999737938
338.0,0.046758937469272135,0.1317348204387114,0.06672704704853101,0.20566260817462056
340.0,0.051932821715384485,-0.025005312772882413,0.017594909224544184,-0.716866875600809
342.0,0.016991957823152982,-0.07649887022647428,-0.01369583663493369,-0.8158631918048244
344.0,0.0033088826149699274,-0.014620971349201851,0.0006182640601556121,-0.14278727624281334
346.0,0.024256436405818545,0.13774877929378543,0.017147046973896747,0.9353071319164372
348.0,0.04000463989867809,0.3328594783135084,0.01106706271775753,1.8307431172348874
350.0,0.031240445754304392,0.5223842871017529,0.003178782814090539,2.0280537344236533
352.0,0.030833027868339843,0.6845114923286435,0.01692537110311249,1.4028135108344457
354.0,0.05460459930949456,0.8314448832265725,0.03855828848098568,0.31009272104265995
356.0,0.05524167809613101,0.990763379130313,0.03878591172690475,-0.6399608089867422
358.0,0.024381054268983675,1.1764415436879039,0.028485958589817704,-0.9426003189634078
360.0,0.017669827414663827,1.3707155497796637,0.03349209224730093,-0.4538050275865826
362.0,0.060097191134161565,1.5268064666507084,0.055527070862265965,0.5673454155290272
364.0,0.10494574128040662,1.589590714265915,0.07156309075680382,1.6024295006620184
366.0,0.09034869892037695,1.5227330350057215,0.05956622580063497,2.1262646185494423
368.0,0.016869458121289992,1.3259923126392585,0.021066215101889448,1.866037790266604
370.0,-0.04809813247561674,1.029602015888762,-0.018096385307318837,0.935146851643204
372.0,-0.050220842581881336,0.6681763946422714,-0.030518753030743535,-0.2591777073397363
374.0,-0.016259097038494562,0.2557422942960774,-0.019556004058158886,-1.296420798351644
376.0,0.0009596335826227272,-0.212814875640677,-0.006924625202134607,-2.015100374874563
378.0,-0.010132409387080576,-0.7288289702259925,-0.004542011621324101,-2.561979231527839
380.0,-0.01909403310926682,-1.2303572998379753,-0.00698767291267374,-3.1741839059136705
382.0,-0.0026781925156975695,-1.5945430024790772,-0.002998026293075219,-3.8830298067198923
384.0,0.01871978592703568,-1.6806166913170923,0.006252051308206605,-4.411980138813793
386.0,0.017342228228380593,-1.4021111019706851,0.009286295692518702,-4.369298029429567
388.0,0.002764152562998322,-0.7823782036778159,0.004625980920916139,-3.5616473832859157
390.0,-0.00017740669706155975,0.041768415765914904,0.0008402692829508251,-2.1526645403993405
392.0,0.017952597342795244,0.8731042083668628,0.006831037276599156,-0.53919063283575
394.0,0.04447807141542932,1.5393135955569681,0.02111420598776531,0.9414067199332656
396.0,0.06374257657300296,1.9671545570732034,0.034902760588042,2.225120442593922
398.0,0.0755783618077325,2.204012174495823,0.04241104529020844,3.483285131247712
400.0,0.08155722173546716,2.374871340299389,0.04087077230065212,4.881239091377737
402.0,0.08478069550563157,2.6024351534156267,0.03547447834074686,6.351685289031491
404.0,0.08992323074095587,2.9386660678005696,0.03225798747939694,7.570869552134595
406.0,0.09082541107165949,3.3452739536622214,0.028719198874689385,8.14602206994131
408.0,0.07445405949485365,3.7292668013417205,0.01829945045878904,7.862294827024427
410.0,0.03915370091309567,4.008049206936311,-0.00119074783468604,6.818061704920222
412.0,0.00860041271114203,4.164497310911691,-0.019821197453845397,5.384590633080272
414.0,0.006695654076289868,4.261621715901558,-0.023732011033749247,4.048912256040335
416.0,0.02890572753206208,4.410503899278682,-0.011635459689755797,3.24371600729151
418.0,0.05509121884762958,4.709757531716305,0.0057876898384982035,3.230820904575868
420.0,0.07652437039709681,5.18767756988558,0.021549796311263716,4.044215583716832
422.0,0.09442175534503627,5.774134604856908,0.03495478253022797,5.470925256273608
424.0,0.10986838097520464,6.312732666987358,0.04648167482879371,7.064723624489379
426.0,0.1187632035017919,6.606313149558652,0.05445623766922167,8.217627595856001
428.0,0.11490072346623188,6.47878813233305,0.05598748813361505,8.315195339069339
430.0,0.09680141298297834,5.833255853313616,0.05019543798228706,6.9571548434271735
432.0,0.06408141407155998,4.687443451877648,0.0361168641999008,4.15911081215809
434.0,0.021392022341532355,3.1733713475697027,0.014313538174818367,0.41783376456547616
436.0,-0.01678528052181104,1.500464239568272,-0.008947769199395767,-3.4329208794178125
438.0,-0.04088988175226409,-0.10340767267019844,-0.02808087495534648,-6.536601507261181
440.0,-0.04847420094135828,-1.4490830948645321,-0.03972852080898437,-8.35030763355333
442.0,-0.04293642387393303,-2.4205060927074973,-0.043236150357087506,-8.832561753712078
444.0,-0.031109124365054235,-2.9785915468500304,-0.04128057671897386,-8.39298621500587
446.0,-0.017374899459739416,-3.1416257157742944,-0.03626225174491643,-7.6438970385762035
448.0,-0.00316723276813751,-2.957616819837271,-0.02891742386673357,-7.088895309419201
450.0,0.011306795695250574,-2.483197484331693,-0.019316433237100212,-6.898267958438456
452.0,0.026486712214045655,-1.7763530452258427,-0.007479994535303901,-6.864635739747353
454.0,0.04302854213653901,-0.90115462531436,0.006698103389634906,-6.544393649208939
456.0,0.06037119255719509,0.06401823277678545,0.02287819356786154,-5.509747964913146
458.0,0.07584994980692981,1.0249054010748255,0.039285238310464515,-3.5899206667753614
460.0,0.08651131510273598,1.8824040864823115,0.05343246132024344,-0.9868711203316154
462.0,0.0911456722435793,2.554228784440946,0.06379721521460333,1.7870644429832145
464.0,0.08977400319819323,2.9980995259608716,0.06983195398584037,4.113199322026015
466.0,0.08297682442872541,3.225476124114174,0.071409216222097,5.510297418976354
468.0,0.07224496345126488,3.2989022238283856,0.0690497521272973,5.809778018141404
470.0,0.05989641390413132,3.3128624113722203,0.06404476848782946,5.199460281938206
472.0,0.04824995895820768,3.36389359176802,0.057925665365374274,4.134504161581451
474.0,0.039016972622754185,3.518835485492452,0.05190382440532538,3.160850112313946
476.0,0.03318231256849036,3.7907279502214015,0.04675535321181225,2.718514155119169
478.0,0.030914146290573943,4.13025609656242,0.042926590590241495,2.9922843178054546
480.0,0.031414293390490476,4.436624263143532,0.040526638835366766,3.8586957415997336
482.0,0.03303239025641341,4.585710611819321,0.03920026884876359,4.943791419548833
484.0,0.033667768129418144,4.46726710559515,0.03809979158806788,5.765943390821714
486.0,0.03130827923958153,4.019538668877107,0.03612626280678126,5.908239247842051
488.0,0.024727531845597586,3.2506136748309338,0.03240712715114999,5.158647706595554
490.0,0.014056058957403736,2.240477747589482,0.026749895174523714,3.5739762542807147
492.0,0.0005604548331457471,1.1239390909963816,0.01961129964525749,1.454653812402578
494.0,-0.01420548465220299,0.06004089746427753,0.01164377332908964,-0.7523022528146964
496.0,-0.029041443662079638,-0.8032039813441412,0.0033145687849171056,-2.5849792177127124
498.0,-0.04325005562478998,-1.3595073897151904,-0.005179838880600304,-3.6904623970060424
500.0,-0.05652748432805977,-1.563381234538624,-0.013829534767077115,-3.906799345983149
502.0,-0.06880985537776063,-1.4344417015218114,-0.022695108856181142,-3.2862575859726633
504.0,-0.08011531511864085,-1.0479394253421075,-0.03178870725009933,-2.0624378514790767
506.0,-0.0904024323684701,-0.5155409792537953,-0.04097148062901567,-0.5783799371864718
508.0,-0.09945970567424475,0.03834811722256403,-0.04986732793403806,0.8008595992102204
510.0,-0.10686528164021071,0.4996731826905059,-0.05783465251946728,1.7688945285785085
512.0,-0.11205558439368937,0.7832481752662106,-0.0640368390410611,2.1354911434551678
514.0,-0.11452556803884396,0.8440553178597386,-0.06764950438552267,1.851954871694061
516.0,-0.11408280569087735,0.6801290827499683,-0.06814997206354442,1.0033271381100213
518.0,-0.11099493136675687,0.32738319294348145,-0.06552408323408411,-0.22658957709854394
520.0,-0.10591997114653787,-0.1517397416752617,-0.06026612609030459,-1.6060107099389247
522.0,-0.09968434788732773,-0.6827926309862434,-0.0531865999750393,-2.9080689162292064
524.0,-0.09306533548144676,-1.1936735441611375,-0.04518456550708731,-3.953560423991811
526.0,-0.08667825260101897,-1.626007681224317,-0.037087005578675246,-4.635813291485723
528.0,-0.08095982194108728,-1.9419780433776013,-0.0295745772917706,-4.925854609399783
530.0,-0.07619343818368532,-2.126388399803821,-0.02314916001265873,-4.861182966416793
532.0,-0.07253385365313612,-2.1847866197711965,-0.01811807479871053,-4.524365651190622
534.0,-0.07002376104580775,-2.1389618570181197,-0.014590797789640985,-4.018159676743686
536.0,-0.06860144023768616,-2.0211237758558505,-0.012490653719787317,-3.4426751958938144
538.0,-0.06811311635091787,-1.8678222311729042,-0.011588666622569407,-2.8782875153202756
540.0,-0.06833481408900233,-1.7143979126057076,-0.011550439346758331,-2.3762143303000376
542.0,-0.06900778699618067,-1.5905539930430879,-0.011993436520241568,-1.9570717611465287
544.0,-0.06988619192696224,-1.5174643476256944,-0.01255164307526821,-1.616274990417754
546.0,-0.07077968072457266,-1.506612533750251,-0.012932432142124198,-1.3339468359301068
548.0,-0.07157834072718261,-1.5602699374538167,-0.012955019346740058,-1.0863058467548863
550.0,-0.07224668214876426,-1.6732318455340236,-0.012559234802682536,-0.8555708322805231
552.0,-0.0727966056313202,-1.835233986574626,-0.011784438363990474,-0.6362391777558298
554.0,-0.07325388875870072,-2.033438139696004,-0.01073749769080531,-0.4368615789179458
556.0,-0.07363183783637604,-2.2545028264388183,-0.009556502525128088,-0.2776804953033005
558.0,-0.07392019536707546,-2.4859791424853768,-0.008384471842631799,-0.18534639106109738
560.0,-0.07408420235150133,-2.717004818039299,-0.007347979025811682,-0.18624751991686633
562.0,-0.07407429630862515,-2.9384440497996165,-0.006545550021966107,-0.2999020637050871
564.0,-0.07383785389693345,-3.1427075113770684,-0.006039051413572003,-0.5335883397302538
566.0,-0.07333256835003697,-3.3234886092752927,-0.005853269765337854,-0.879093233500761
568.0,-0.07253638056990017,-3.475587941528474,-0.005979115631968573,-1.3121548481572671
570.0,-0.07145523940095375,-3.5948979200897857,-0.006383093145323399,-1.794770937979446
572.0,-0.07012816155986124,-3.67852189184706,-0.0070214161923758,-2.2799988833110505
574.0,-0.0686283350592342,-3.724943214965795,-0.007853920458527406,-2.7183211351333267
576.0,-0.06706012340993316,-3.734154994615052,-0.008855949614105301,-3.0643424860619235
578.0,-0.06555146850225749,-3.707694841088927,-0.010027192771555752,-3.282669135753494
580.0,-0.06424041682421487,-3.6485677242047614,-0.011393545081519456,-3.352195767655957
582.0,-0.06325920565382401,-3.5610587789176775,-0.01300249287490819,-3.2684433328939058
584.0,-0.06272001437137098,-3.450435215094407,-0.014915894649654817,-3.043856602872628
586.0,-0.06270235431583435,-3.3225299519687717,-0.01719751042781678,-2.7060859808102022
588.0,-0.06324857627610694,-3.183210748957521,-0.019902518884876215,-2.294387098064567
590.0,-0.06435989589933343,-3.0377751679000373,-0.02306614051386961,-1.854506814551921
592.0,-0.06599806370744653,-2.8903569053094658,-0.0266944042923964,-1.4327570205620221
594.0,-0.06808606417465825,-2.7434508356321374,-0.030755386754090973,-1.0702169957965717
596.0,-0.07051165228246854,-2.5976430877470413,-0.035173773918329286,-0.7979713977391978
598.0,-0.07313038386452586,-2.451580880179952,-0.039826801132158356,-0.6339874884489087
600.0,-0.07577042746992514,-2.3021659675768125,-0.04454410822948518,-0.5818233189900095
602.0,-0.07824087897882054,-2.14492718312146,-0.04911338209879318,-0.6310014478784921
604.0,-0.08034219878486894,-1.9745216259929108,-0.05329149032447919,-0.7586634878488258
606.0,-0.08187979557756057,-1.7853182447427662,-0.056821133827839466,-0.9320658208972422
608.0,-0.08268091424983354,-1.5720208301106111,-0.05945397824265255,-1.111566851465781
610.0,-0.08261060337462856,-1.330286030073365,-0.06097582988506844,-1.2539078344475403
612.0,-0.08158734866920782,-1.0572901980925655,-0.06123215296072321,-1.3156923280107367
614.0,-0.07959314978932036,-0.7522049949463026,-0.060147892240252215,-1.256974945298181
616.0,-0.07667507977975847,-0.4165595775971754,-0.05773674771728277,-1.0448276544792912
618.0,-0.07293987282973392,-0.05449165184744311,-0.05410044795519526,-0.6567491991096471
620.0,-0.068540370668337,0.3270864128276992,-0.04941511078586076,-0.08386514271409867
622.0,-0.06365709208209057,0.7183574685193459,-0.04390943807250776,0.6659959682992559
624.0,-0.058479095064057934,1.1064438799617233,-0.03783971230396826,1.5651922781671026
626.0,-0.053188235972902266,1.4752078785800407,-0.031467070599953746,2.5632282723303956
628.0,-0.04794660309919051,1.8051588566040226,-0.025038318734539933,3.5848357015499928
630.0,-0.042890294555904936,2.073926714261104,-0.018773898382209633,4.531867269630103
632.0,-0.0381272905518294,2.258084523007369,-0.012862873242311265,5.293117688491893
634.0,-0.03373901396560463,2.337190616542237,-0.00746206530104827,5.765570987320432
636.0,-0.033378033761115644,2.3004452479901567,-0.004835903432537198,5.886215900080825
638.0,-0.03590917784439246,2.1550062850286964,-0.008881682672208588,5.665490599537532
640.0,-0.03152674565224922,1.9327829918019899,0.0012790879434982525,5.204809924295342
642.0,-0.020650228464837602,1.6904015179225058,0.033890163513884526,4.678318472409493
644.0,-0.013275663518457619,1.497220134900718,0.06292401685085619,4.270443303644272
646.0,-0.015967856563939634,1.4106994535322013,0.06024618940114431,4.085876522978979
648.0,-0.020959598751598623,1.4460200407104913,0.03821631389977786,4.073412790125669
650.0,-0.018581858535915326,1.5531414238038568,0.019035995959232242,4.010116786165322
652.0,-0.0056625305382176335,1.6153059549627642,0.017643924268717134,3.570373989025232
654.0,0.012275202322821793,1.4771551894658395,0.03139028942836514,2.465231016060159
656.0,0.02406773457578197,0.998781237530153,0.04359960501411828,0.5968123525731958
658.0,0.02027918060306693,0.11669591887866053,0.03679916838582849,-1.8509495440960877
660.0,0.0006579404336880554,-1.1175407018834165,0.007453194284273542,-4.446547233186382
662.0,-0.025376371171511668,-2.543462029259726,-0.03086631095396427,-6.665639308605936
664.0,-0.04541377301504022,-3.940999873616696,-0.058204585603156854,-8.087664956401301
666.0,-0.0525883577597485,-5.098261746117194,-0.0635369154871765,-8.533701818400631
668.0,-0.04853393984818485,-5.868446923488687,-0.0507346068402716,-8.089030555646955
670.0,-0.04026250607636867,-6.198317359499057,-0.033383679284715854,-7.02083472952306
672.0,-0.03526698824663558,-6.125291312762047,-0.025566257684931162,-5.64676087487565
674.0,-0.03705943388752382,-5.750375873874368,-0.03313923699962089,-4.22071721032076
676.0,-0.04334196711874196,-5.200112069081104,-0.050422225699671766,-2.8824808769660986
